Sales Document Type,Purchase order no.,Reason for rejection,Sales Document,Sales Document Item,Delivery status,Overall status,E-order 상태표기 값
OR,101726652503125,05,19170608,10,,,취소 처리(리젝션코드)
OR,101778532503121,,19170694,10,,B,
OR,101780932503126,,19171013,10,,B,
OR,1018318625031214,,19173590,10,,B,
OR,1018318625031213,,19173591,10,,B,
OR,101979412503131,,19179703,10,,B,
OR,101779912503121,,19179749,10,,B,
OR,101979412503041-2,,19179757,10,,B,
OR,101726652503137,,19182112,20,,B,
OR,101780262503131,,19182321,10,,B,
OR,101726652503175,,19197562,10,,B,
OR,101726652503187,,19208042,10,,B,
OR,101726652503183,,19208064,10,,B,
OR,101726652503186,,19208067,10,,B,
DR,수요관리사업 정산,,19190140,10,,C,오더완료
OR,101778072503112,,19170581,10,A,B,
OR,101778072503113,,19170625,10,A,B,
OR,101778072503113,,19170625,20,A,B,
OR,101778412503123,,19170667,10,A,B,
OR,101831862503121,11,19170427,10,A,C,A/C -> 취소
OR,101831862503121,11,19170427,20,A,C,A/C -> 취소
OR,101831862503121,11,19170427,30,A,C,A/C -> 취소
OR,101831862503121,11,19170427,40,A,C,A/C -> 취소
OR,101778212503173-1,,19197610,10,B,B,
OR,101778212503173-1,,19197610,20,B,B,
OR,101781342503122,,19170976,10,C,B,C/B -> 배송완료
OR,101781342503122,,19170976,20,C,B,C/B -> 배송완료
OR,101780032503122,,19179405,10,C,B,C/B -> 배송완료
OR,101780032503122,,19179405,20,C,B,C/B -> 배송완료
OR,101780032503122,,19179405,30,C,B,C/B -> 배송완료
OR,101774132503121,,19170422,10,C,C,C/C -> 배송완료
OR,101822182503112,,19170423,10,C,C,C/C -> 배송완료
OR,101777452503121,,19170424,10,C,C,C/C -> 배송완료
